Aktueller Videomodus ist : 
1920 Pixel Breite
1200 Pixel Höhe
32 Bits per Pixel
59Hz Refreshrate

 
Die Liste der von Dx7 unterstütze Videomodi auf diesem System mit Angabe der Bildrate: 
320 Pixel Breite, 200 Pixel Höhe, 8 Bits per Pixel, 70Hz Refreshrate
320 Pixel Breite, 200 Pixel Höhe, 16 Bits per Pixel, 70Hz Refreshrate
320 Pixel Breite, 200 Pixel Höhe, 32 Bits per Pixel, 70Hz Refreshrate
512 Pixel Breite, 384 Pixel Höhe, 8 Bits per Pixel, 70Hz Refreshrate
512 Pixel Breite, 384 Pixel Höhe, 16 Bits per Pixel, 70Hz Refreshrate
512 Pixel Breite, 384 Pixel Höhe, 32 Bits per Pixel, 70Hz Refreshrate
640 Pixel Breite, 400 Pixel Höhe, 8 Bits per Pixel, 70Hz Refreshrate
640 Pixel Breite, 400 Pixel Höhe, 16 Bits per Pixel, 70Hz Refreshrate
640 Pixel Breite, 400 Pixel Höhe, 32 Bits per Pixel, 70Hz Refreshrate
640 Pixel Breite, 480 Pixel Höhe, 8 Bits per Pixel, 59Hz Refreshrate
640 Pixel Breite, 480 Pixel Höhe, 8 Bits per Pixel, 60Hz Refreshrate
640 Pixel Breite, 480 Pixel Höhe, 8 Bits per Pixel, 73Hz Refreshrate
640 Pixel Breite, 480 Pixel Höhe, 8 Bits per Pixel, 75Hz Refreshrate
640 Pixel Breite, 480 Pixel Höhe, 16 Bits per Pixel, 59Hz Refreshrate
640 Pixel Breite, 480 Pixel Höhe, 16 Bits per Pixel, 60Hz Refreshrate
640 Pixel Breite, 480 Pixel Höhe, 16 Bits per Pixel, 73Hz Refreshrate
640 Pixel Breite, 480 Pixel Höhe, 16 Bits per Pixel, 75Hz Refreshrate
640 Pixel Breite, 480 Pixel Höhe, 32 Bits per Pixel, 59Hz Refreshrate
640 Pixel Breite, 480 Pixel Höhe, 32 Bits per Pixel, 60Hz Refreshrate
640 Pixel Breite, 480 Pixel Höhe, 32 Bits per Pixel, 73Hz Refreshrate
640 Pixel Breite, 480 Pixel Höhe, 32 Bits per Pixel, 75Hz Refreshrate
800 Pixel Breite, 600 Pixel Höhe, 8 Bits per Pixel, 60Hz Refreshrate
800 Pixel Breite, 600 Pixel Höhe, 8 Bits per Pixel, 72Hz Refreshrate
800 Pixel Breite, 600 Pixel Höhe, 8 Bits per Pixel, 75Hz Refreshrate
800 Pixel Breite, 600 Pixel Höhe, 16 Bits per Pixel, 60Hz Refreshrate
800 Pixel Breite, 600 Pixel Höhe, 16 Bits per Pixel, 72Hz Refreshrate
800 Pixel Breite, 600 Pixel Höhe, 16 Bits per Pixel, 75Hz Refreshrate
800 Pixel Breite, 600 Pixel Höhe, 32 Bits per Pixel, 60Hz Refreshrate
800 Pixel Breite, 600 Pixel Höhe, 32 Bits per Pixel, 72Hz Refreshrate
800 Pixel Breite, 600 Pixel Höhe, 32 Bits per Pixel, 75Hz Refreshrate
1024 Pixel Breite, 768 Pixel Höhe, 8 Bits per Pixel, 60Hz Refreshrate
1024 Pixel Breite, 768 Pixel Höhe, 8 Bits per Pixel, 70Hz Refreshrate
1024 Pixel Breite, 768 Pixel Höhe, 8 Bits per Pixel, 75Hz Refreshrate
1024 Pixel Breite, 768 Pixel Höhe, 16 Bits per Pixel, 60Hz Refreshrate
1024 Pixel Breite, 768 Pixel Höhe, 16 Bits per Pixel, 70Hz Refreshrate
1024 Pixel Breite, 768 Pixel Höhe, 16 Bits per Pixel, 75Hz Refreshrate
1024 Pixel Breite, 768 Pixel Höhe, 32 Bits per Pixel, 60Hz Refreshrate
1024 Pixel Breite, 768 Pixel Höhe, 32 Bits per Pixel, 70Hz Refreshrate
1024 Pixel Breite, 768 Pixel Höhe, 32 Bits per Pixel, 75Hz Refreshrate
1152 Pixel Breite, 864 Pixel Höhe, 8 Bits per Pixel, 75Hz Refreshrate
1152 Pixel Breite, 864 Pixel Höhe, 16 Bits per Pixel, 75Hz Refreshrate
1152 Pixel Breite, 864 Pixel Höhe, 32 Bits per Pixel, 75Hz Refreshrate
1280 Pixel Breite, 960 Pixel Höhe, 8 Bits per Pixel, 60Hz Refreshrate
1280 Pixel Breite, 960 Pixel Höhe, 16 Bits per Pixel, 60Hz Refreshrate
1280 Pixel Breite, 960 Pixel Höhe, 32 Bits per Pixel, 60Hz Refreshrate
1280 Pixel Breite, 1024 Pixel Höhe, 8 Bits per Pixel, 60Hz Refreshrate
1280 Pixel Breite, 1024 Pixel Höhe, 8 Bits per Pixel, 75Hz Refreshrate
1280 Pixel Breite, 1024 Pixel Höhe, 16 Bits per Pixel, 60Hz Refreshrate
1280 Pixel Breite, 1024 Pixel Höhe, 16 Bits per Pixel, 75Hz Refreshrate
1280 Pixel Breite, 1024 Pixel Höhe, 32 Bits per Pixel, 60Hz Refreshrate
1280 Pixel Breite, 1024 Pixel Höhe, 32 Bits per Pixel, 75Hz Refreshrate
1600 Pixel Breite, 1200 Pixel Höhe, 8 Bits per Pixel, 60Hz Refreshrate
1600 Pixel Breite, 1200 Pixel Höhe, 16 Bits per Pixel, 60Hz Refreshrate
1600 Pixel Breite, 1200 Pixel Höhe, 32 Bits per Pixel, 60Hz Refreshrate
1680 Pixel Breite, 1050 Pixel Höhe, 8 Bits per Pixel, 60Hz Refreshrate
1680 Pixel Breite, 1050 Pixel Höhe, 16 Bits per Pixel, 60Hz Refreshrate
1680 Pixel Breite, 1050 Pixel Höhe, 32 Bits per Pixel, 60Hz Refreshrate
1920 Pixel Breite, 1200 Pixel Höhe, 8 Bits per Pixel, 59Hz Refreshrate
1920 Pixel Breite, 1200 Pixel Höhe, 8 Bits per Pixel, 60Hz Refreshrate
1920 Pixel Breite, 1200 Pixel Höhe, 16 Bits per Pixel, 59Hz Refreshrate
1920 Pixel Breite, 1200 Pixel Höhe, 16 Bits per Pixel, 60Hz Refreshrate
1920 Pixel Breite, 1200 Pixel Höhe, 32 Bits per Pixel, 59Hz Refreshrate
1920 Pixel Breite, 1200 Pixel Höhe, 32 Bits per Pixel, 60Hz Refreshrate
 
Die Liste der von Dx7 unterstütze Videomodi auf diesem System ohne Angabe der Bildrate: 
320 Pixel Breite, 200 Pixel Höhe, 8 Bits per Pixel, 0Hz Refreshrate
320 Pixel Breite, 200 Pixel Höhe, 16 Bits per Pixel, 0Hz Refreshrate
320 Pixel Breite, 200 Pixel Höhe, 32 Bits per Pixel, 0Hz Refreshrate
512 Pixel Breite, 384 Pixel Höhe, 8 Bits per Pixel, 0Hz Refreshrate
512 Pixel Breite, 384 Pixel Höhe, 16 Bits per Pixel, 0Hz Refreshrate
512 Pixel Breite, 384 Pixel Höhe, 32 Bits per Pixel, 0Hz Refreshrate
640 Pixel Breite, 400 Pixel Höhe, 8 Bits per Pixel, 0Hz Refreshrate
640 Pixel Breite, 400 Pixel Höhe, 16 Bits per Pixel, 0Hz Refreshrate
